id,incident_id,asset_id,created_by,assigned_to,due_date,status,cost_estimate,notes
WO-038,INC-308,ASSET-228,USER-ADMIN-01,USER-INS-01,2026-08-20,Open,3500,Reset guardrail posts
WO-039,INC-309,ASSET-249,USER-MGR-01,USER-INS-01,2026-08-02,Overdue,48000,Reconstruct outlet apron
WO-040,INC-310,ASSET-230,USER-MGR-01,USER-INS-01,2026-08-15,Completed,15000,Re-seal deck joint
WO-041,INC-311,ASSET-211,USER-MGR-01,USER-INS-01,2026-07-16,Overdue,72000,Re-seal deck joint
WO-042,INC-312,ASSET-212,USER-MGR-01,USER-CTR-01,2026-07-11,Overdue,72000,Place temporary barriers
WO-043,INC-313,ASSET-213,USER-ADMIN-01,USER-CTR-01,2026-08-27,Overdue,8000,Reconstruct outlet apron
WO-044,INC-314,ASSET-210,USER-MGR-01,USER-INS-01,2026-09-02,Open,3500,Reset guardrail posts
WO-045,INC-315,ASSET-235,USER-ADMIN-01,USER-CTR-01,2026-06-25,Open,72000,Place temporary barriers
WO-046,INC-316,ASSET-216,USER-MGR-01,USER-INS-01,2026-07-27,Open,8000,Reconstruct outlet apron
WO-047,INC-317,ASSET-237,USER-MGR-01,USER-INS-01,2026-08-07,Open,72000,Re-seal deck joint
WO-048,INC-318,ASSET-238,USER-MGR-01,USER-INS-01,2026-08-03,Open,3500,Reconstruct outlet apron
WO-049,INC-319,ASSET-219,USER-MGR-01,USER-INS-01,2026-08-29,Completed,8000,Re-seal deck joint
WO-050,INC-320,ASSET-240,USER-ADMIN-01,USER-CTR-01,2026-08-06,Completed,3500,Clean and CCTV outlet
WO-051,INC-321,ASSET-201,USER-MGR-01,USER-CTR-01,2026-06-23,Open,8000,Re-seal deck joint
WO-052,INC-322,ASSET-202,USER-MGR-01,USER-CTR-01,2026-08-25,Open,12000,Vegetation cut-back 20 m
WO-053,INC-323,ASSET-223,USER-MGR-01,USER-INS-01,2026-07-19,Open,15000,Re-seal deck joint
WO-054,INC-324,ASSET-244,USER-MGR-01,USER-CTR-01,2026-07-08,Completed,48000,Re-seal deck joint
WO-055,INC-325,ASSET-225,USER-ADMIN-01,USER-CTR-01,2026-08-08,Open,3500,Replace grate and bolt down
WO-056,INC-326,ASSET-226,USER-MGR-01,USER-INS-01,2026-07-13,Open,12000,Replace grate and bolt down
WO-057,INC-327,ASSET-227,USER-MGR-01,USER-CTR-01,2026-07-28,Overdue,12000,Clean and CCTV outlet
WO-058,INC-328,ASSET-228,USER-ADMIN-01,USER-INS-01,2026-07-29,Open,15000,Reconstruct outlet apron
WO-059,INC-329,ASSET-229,USER-ADMIN-01,USER-CTR-01,2026-07-26,Overdue,15000,Reset guardrail posts
WO-060,INC-330,ASSET-250,USER-MGR-01,USER-INS-01,2026-07-29,Completed,15000,Reset guardrail posts
WO-061,INC-301,ASSET-241,USER-MGR-01,USER-CTR-01,2026-09-01,Assigned,48000,Reconstruct outlet apron
WO-062,INC-302,ASSET-234,USER-MGR-01,USER-INS-01,2026-08-22,Open,72000,Reset guardrail posts
WO-063,INC-303,ASSET-223,USER-ADMIN-01,USER-CTR-01,2026-07-16,Completed,48000,Reset guardrail posts
WO-064,INC-304,ASSET-244,USER-ADMIN-01,USER-INS-01,2026-08-15,Overdue,3500,Re-seal deck joint
WO-065,INC-305,ASSET-245,USER-ADMIN-01,USER-CTR-01,2026-09-01,In Progress,72000,Reset guardrail posts
WO-066,INC-306,ASSET-206,USER-MGR-01,USER-CTR-01,2026-09-04,In Progress,48000,Place temporary barriers
WO-067,INC-307,ASSET-247,USER-ADMIN-01,USER-INS-01,2026-08-03,Overdue,72000,Re-seal deck joint
WO-068,INC-308,ASSET-208,USER-MGR-01,USER-INS-01,2026-08-16,Open,12000,Re-seal deck joint
WO-069,INC-309,ASSET-249,USER-MGR-01,USER-INS-01,2026-08-04,Completed,3500,Re-seal deck joint
WO-070,INC-310,ASSET-230,USER-MGR-01,USER-INS-01,2026-08-16,Overdue,12000,Reset guardrail posts
WO-071,INC-311,ASSET-231,USER-ADMIN-01,USER-INS-01,2026-07-13,Completed,3500,Re-seal deck joint
WO-072,INC-312,ASSET-212,USER-MGR-01,USER-CTR-01,2026-07-15,Open,72000,Reset guardrail posts
WO-073,INC-313,ASSET-213,USER-MGR-01,USER-CTR-01,2026-08-12,Completed,24500,Replace grate and bolt down
WO-074,INC-314,ASSET-214,USER-MGR-01,USER-INS-01,2026-09-02,In Progress,48000,Replace grate and bolt down
WO-075,INC-302,ASSET-210,USER-MGR-01,USER-CTR-01,2026-08-10,Open,15000,Temporary repair to re-open lane
WO-076,INC-316,ASSET-236,USER-ADMIN-01,USER-CTR-01,2026-07-30,Completed,48000,Vegetation cut-back 20 m
WO-077,INC-317,ASSET-237,USER-MGR-01,USER-CTR-01,2026-08-11,Open,8000,Reset guardrail posts
WO-078,INC-318,ASSET-238,USER-ADMIN-01,USER-CTR-01,2026-07-21,Overdue,15000,Clean and CCTV outlet
WO-079,INC-319,ASSET-239,USER-ADMIN-01,USER-INS-01,2026-08-28,Completed,24500,Re-seal deck joint
WO-080,INC-320,ASSET-240,USER-MGR-01,USER-INS-01,2026-08-20,Open,24500,Vegetation cut-back 20 m
